Identifiant;Description;GPO_Key;Parameter;Hardening Value;FLAG;Descript;Rationale;Remediation;Impact
2.2.2;Configure 'Access this computer from the network';GPO;SeNetworkLogonRight;;EMPTY;;;;
2.2.3;Ensure 'Act as part of the operating system' is set to 'No One';GPO;SeTcbPrivilege;No One;EMPTY;;;;
2.2.4;Ensure 'Add workstations to domain' is set to 'Administrators' (DC only);GPO;SeMachineAccountPrivilege;Administrators;EMPTY;;;;
2.2.5;Ensure 'Adjust memory quotas for a process';GPO;SeIncreaseQuotaPrivilege;Administrators, LOCAL SERVICE, NETWORK SERVICE;EMPTY;;;;
2.2.6;Ensure 'Allow log on locally' is set to 'Administrators';GPO;SeInteractiveLogonRight;Administrators;EMPTY;;;;
2.2.7;Configure 'Allow log on through Remote Desktop Services';GPO;SeRemoteInteractiveLogonRight;;EMPTY;;;;
2.2.8;Ensure 'Back up files and directories' is set to 'Administrators';GPO;SeRestorePrivilege;Administrators;EMPTY;;;;
2.2.9;Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE';GPO;SeSystemtimePrivilege;Administrators, LOCAL SERVICE;EMPTY;;;;
2.2.10;Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE' ;GPO;SeTimeZonePrivilege;Administrators, LOCAL SERVICE;EMPTY;;;;
2.2.11;Ensure 'Create a pagefile' is set to 'Administrators' ;GPO;SeCreatePagefilePrivilege;Administrators;EMPTY;;;;
2.2.12;Ensure 'Create a token object' is set to 'No One';GPO;SeCreateTokenPrivilege;No One;EMPTY;;;;
2.2.13;Ensure 'Create global objects';GPO;SeCreateGlobalPrivilege;Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE;EMPTY;;;;
2.2.14;Ensure 'Create permanent shared objects' is set to 'No One' ;GPO;SeCreatePermanentPrivilege figure;No One;EMPTY;;;;
2.2.15;Configure 'Create symbolic links' ;GPO;SeCreateSymbolicLinkPrivilege;;EMPTY;;;;
2.2.16;Ensure 'Debug programs' is set to 'Administrators';GPO;SeDebugPrivilege;Administrators;EMPTY;;;;
2.2.17;Configure 'Deny access to this computer from the network';GPO;SeDenyNetworkLogonRight;;EMPTY;;;;
2.2.18;Ensure 'Deny log on as a batch job' to include 'Guests';GPO;SeDenyBatchLogonRight;;EMPTY;;;;
2.2.19;Ensure 'Deny log on as a service' to include 'Guests';GPO;SeDenyServiceLogonRight;###;EMPTY;;;;
2.2.20;Ensure 'Deny log on locally' to include 'Guests';GPO;SeDenyInteractiveLogonRight;###;EMPTY;;;;
2.2.21;Configure 'Deny log on through Remote Desktop Services';GPO;SeDenyRemoteInteractiveLogonRight;###;EMPTY;;;;
2.2.22;Configure 'Enable computer and user accounts to be trusted for delegation';GPO;SeEnableDelegationPrivilege;###;EMPTY;;;;
2.2.23;Ensure 'Force shutdown from a remote system' is set to 'Administrators';GPO;SeRemoteShutdownPrivilege;Administrators;EMPTY;;;;
2.2.24;Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE';GPO;SeAuditPrivilege;LOCAL SERVICE, NETWORK SERVICE;EMPTY;;;;
2.2.25;Configure 'Impersonate a client after authentication';GPO;SeImpersonatePrivilege;;EMPTY;;;;
2.2.26;Ensure 'Increase scheduling priority' is set to 'Administrators';GPO;SeIncreaseBasePriorityPrivilege;Administrators;EMPTY;;;;
2.2.27;Ensure 'Load and unload device drivers' is set to 'Administrators';GPO;SeLoadDriverPrivilege;Administrators;EMPTY;;;;
2.2.28;Ensure 'Lock pages in memory' is set to 'No One';GPO;SeLockMemoryPrivilege;No One;EMPTY;;;;
2.2.29;Ensure 'Log on as a batch job' is set to 'Administrators' (DC only);GPO;SeBatchLogonRight;Administrators;EMPTY;;;;
2.2.30;Configure 'Manage auditing and security log';GPO;SeSecurityPrivilege;;EMPTY;;;;
2.2.31;Ensure 'Modify an object label' is set to 'No One';GPO;SeRelabelPrivilege;No One;EMPTY;;;;
2.2.32;Ensure 'Modify firmware environment values' is set to 'Administrators';GPO;SeSystemEnvironmentPrivilege;Administrators;EMPTY;;;;
2.2.33;Ensure 'Perform volume maintenance tasks' is set to 'Administrators';GPO;SeManageVolumePrivilege;Administrators;EMPTY;;;;
2.2.34;Ensure 'Profile single process' is set to 'Administrators';GPO;SeProfileSingleProcessPrivilege;Administrators;EMPTY;;;;
2.2.35;Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost';GPO;SeSystemProfilePrivilege;Administrators, NT SERVICE\WdiServiceHost;EMPTY;;;;
2.2.36;Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE';GPO;SeAssignPrimaryTokenPrivilege;LOCAL SERVICE, NETWORK SERVICE;EMPTY;;;;
2.2.37;Ensure 'Restore files and directories' is set to 'Administrators';GPO;SeRestorePrivilege;Administrators;EMPTY;;;;
2.2.38;Ensure 'Shut down the system' is set to 'Administrators';GPO;SeShutdownPrivilege;Administrators;EMPTY;;;;
2.2.39;Ensure 'Synchronize directory service data' is set to 'No One' (DC only);GPO;SeSyncAgentPrivilege;No One;EMPTY;;;;
2.2.40;Ensure 'Take ownership of files or other objects' is set to 'Administrators' ;GPO;SeTakeOwnershipPrivilege;Administrators;EMPTY;;;;
2.3.1.1;Ensure 'Accounts: Administrator account status' is set to 'Disabled' (MS only);GPO;;Disabled;EMPTY;;;;
2.3.1.2;Ensure 'Accounts: Block Microsoft accounts';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;NoConnectedUser;3;EMPTY;;;;
2.3.1.3;Ensure 'Accounts Guest account status' is set to 'Disabled';Pas de clef de registre correspondante;;###;INVALID;;;;
2.3.1.4;Ensure 'Accounts Limit local account use of blank passwords to console logon only';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;LimitBlankPasswordUse;1;CORRECT;;;;
2.3.1.5;Configure 'Accounts Rename administrator account';Pas de clef de registre correspondante;;###;INVALID;;;;
2.3.1.6;Configure 'Accounts Rename guest account';Pas de clef de registre correspondante;;###;INVALID;;;;
2.3.2.1;Ensure 'Audit Force audit policy subcategory settings to override audit policy category settings';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;SCENoApplyLegacyAuditPolicy;1;INVALID;;;;
2.3.2.2;Ensure 'Audit Shut down system immediately if unable to log security audits' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;CrashOnAuditFail;0;CORRECT;;;;
2.3.4.1;Ensure 'Devices Allowed to format and eject removable media' is set to 'Administrators';HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;AllocateDASD;0;CORRECT;;;;
2.3.4.2;Ensure 'Devices Prevent users from installing printer drivers' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers;AddPrinterDrivers;1;INCORRECT;;;;
2.3.5.1;Ensure 'Domain controller Allow server operators to schedule tasks' is set to 'Disabled' (DC only);HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;SubmitControl;0;INCORRECT;;;;
2.3.5.2;Ensure 'Domain controller LDAP server signing requirements' is set to 'Require signing' (DC only);HKLM:\SYSTEM\CurrentControlSet\Services\NTDS\Parameters;LDAPServerIntegrity;2;INVALID;;;;
2.3.5.3;Ensure 'Domain controller Refuse machine account password changes' (DC only);HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;RefusePasswordChange;0;INVALID;;;;
2.3.6.1;Ensure 'Domain member Digitally encrypt or sign secure channel data (always)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;RequireSignOrSeal;1;CORRECT;;;;
2.3.6.2;Ensure 'Domain member Digitally encrypt secure channel data (when possible)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;SealSecureChannel;1;CORRECT;;;;
2.3.6.3;Ensure 'Domain member Digitally sign secure channel data (when possible)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;SignSecureChannel;1;CORRECT;;;;
2.3.6.4;Ensure 'Domain member Disable machine account password changes' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;DisablePasswordChange;0;CORRECT;;;;
2.3.6.5;Ensure 'Domain member Maximum machine account password age';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;MaximumPasswordAge;0-30;CORRECT;;;;
2.3.6.6;Ensure 'Domain member Require strong (Windows 2000 or later) session key' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters;RequireStrongKey;1;CORRECT;;;;
2.3.7.1;Ensure 'Interactive logon Do not display last user name' is set to 'Enabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;DontDisplayLastUserName;1;INCORRECT;;;;
2.3.7.2;Ensure 'Interactive logon Do not require CTRL+ALT+DEL' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;DisableCAD;0;INCORRECT;;;;
2.3.7.3;Ensure 'Interactive logon Machine inactivity limit' is set to '900 or fewer second(s), but not 0';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System; InactivityTimeoutSecs;0-900;INCORRECT;;;;
2.3.7.4;Configure 'Interactive logon Message text for users attempting to log on';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;LegalNoticeText;Valeur arbitraire;TO CHECK;;;;
2.3.7.5;Configure 'Interactive logon Message title for users attempting to log on';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;LegalNoticeCaption;Valeur arbitraire;TO CHECK;;;;
2.3.7.6;Ensure 'Interactive logon Number of previous logons to cache' (MS only);HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;CachedLogonsCount;0-4;CORRECT;;;;
2.3.7.7;Ensure 'Interactive logon Prompt user to change password before expiration';HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;PasswordExpiryWarning;005-14;CORRECT;;;;
2.3.7.8;Ensure 'Interactive logon Require Domain Controller Authentication to unlock workstation' ;HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;ForceUnlockLogon;1;INCORRECT;;;;
2.3.7.9;Ensure 'Interactive logon Smart card removal behavior' is set to 'Lock Workstation' or higher;HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;ScRemoveOption;0-1;CORRECT;;;;
2.3.8.1;Ensure 'Microsoft network client Digitally sign communications (always)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters;RequireSecuritySignature;1;INCORRECT;;;;
2.3.8.2;Ensure 'Microsoft network client Digitally sign communications (if server agrees)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters;EnableSecuritySignature;1;CORRECT;;;;
2.3.8.3;Ensure 'Microsoft network client Send unencrypted password to thirdparty SMB servers';HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters;EnablePlainTextPassword;0;CORRECT;;;;
2.3.9.1;Ensure 'Microsoft network server Amount of idle time required before suspending session';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;AutoDisconnect;0-15;CORRECT;;;;
2.3.9.2;Ensure 'Microsoft network server Digitally sign communications (always)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;RequireSecuritySignature;1;INCORRECT;;;;
2.3.9.3;Ensure 'Microsoft network server Digitally sign communications (if client agrees)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;EnableSecuritySignature;1;INCORRECT;;;;
2.3.9.4;Ensure 'Microsoft network server Disconnect clients when logon hours expire' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;enableforcedlogoff;1;CORRECT;;;;
2.3.9.5;Ensure 'Microsoft network server Server SPN target name validation level' (MS only);HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;SMBServerNameHardeningLevel;1;CORRECT;;;;
2.3.10.1;Ensure 'Network access Allow anonymous SID/Name translation' is set to 'Disabled';Pas de clef de registre correspondante;;0;INVALID;;;;
2.3.10.2;Ensure 'Network access Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;RestrictAnonymousSAM;1;CORRECT;;;;
2.3.10.3;Ensure 'Network access Do not allow anonymous enumeration of SAM accounts and shares' ;HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;RestrictAnonymous;1;INCORRECT;;;;
2.3.10.4;Ensure 'Network access Do not allow storage of passwords and credentials for network authentication';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;DisableDomainCreds;1;INCORRECT;;;;
2.3.10.5;Ensure 'Network access Let Everyone permissions apply to anonymous users' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;EveryoneIncludesAnonymous;0;CORRECT;;;;
2.3.10.6;Configure 'Network access Named Pipes that can be accessed anonymously';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;NullSessionPipes;VIDE;TO CHECK;;;;
2.3.10.7;Configure 'Network access Remotely accessible registry paths';HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths;Machine;Limit‚;TO CHECK;;;;
2.3.10.8;Configure 'Network access Remotely accessible registry paths and sub-paths';HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths;Machine;Limit‚;TO CHECK;;;;
2.3.10.9;Ensure 'Network access Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;RestrictNullSessAccess;1;CORRECT;;;;
2.3.10.10;Ensure 'Network access Shares that can be accessed anonymously' is set to 'None';HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters;NullSessionShares;VIDE;CORRECT;;;;
2.3.10.11;Ensure 'Network access Sharing and security model for local accounts';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;ForceGuest;0;CORRECT;;;;
2.3.11.1;Ensure 'Network security Allow Local System to use computer identity for NTLM' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;UseMachineId;1;CORRECT;;;;
2.3.11.2;Ensure 'Network security Allow LocalSystem NULL session fallback' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0;AllowNullSessionFallback;0;CORRECT;;;;
2.3.11.3;Ensure 'Network Security Allow PKU2U authentication requests to this computer' ;HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\pku2u;AllowOnlineID;0;INVALID;;;;
2.3.11.4;Ensure 'Network security Configure encryption types allowed for Kerberos';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ Kerberos\Parameters;SupportedEncryptionTypes;2147483644;INVALID;;;;
2.3.11.5;Ensure 'Network security Do not store LAN Manager hash value on next password change';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;NoLMHash;1;CORRECT;;;;
2.3.11.6;Ensure 'Network security Force logoff when logon hours expire' is set to 'Enabled';Pas de clef de registre correspondante;;1;INVALID;;;;
2.3.11.7;Ensure 'Network security LAN Manager authentication level';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;LmCompatibilityLevel;5;INVALID;;;;
2.3.11.8;Ensure 'Network security LDAP client signing requirements' is set to 'Negotiate signing' or higher;HKLM:\SYSTEM\CurrentControlSet\Services\LDAP;LDAPClientIntegrity;0-1;CORRECT;;;;
2.3.11.9;Ensure 'Network security Minimum session security for NTLM SSP based clients';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0;NTLMMinClientSec;537395200;INCORRECT;;;;
2.3.11.10;Ensure 'Network security Minimum session security for NTLM SSP based servers';HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0;NTLMMinServerSec;537395200;INCORRECT;;;;
2.3.13.1;Ensure 'Shutdown Allow system to be shut down without having to log on' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;ShutdownWithoutLogon;0;INCORRECT;;;;
2.3.15.1;Ensure 'System objects Require case insensitivity for non-Windows subsystems' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel;ObCaseInsensitive;1;CORRECT;;;;
2.3.15.2;Ensure 'System objects Strengthen default permissions of internal system objects';HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager;ProtectionMode;1;CORRECT;;;;
2.3.17.1;Ensure 'User Account Control Admin Approval Mode for the Built-in Administrator account';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;FilterAdministratorToken;1;CORRECT;;;;
2.3.17.2;Ensure 'User Account Control Allow UIAccess applications to prompt for elevation' ;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;EnableUIADesktopToggle;0;CORRECT;;;;
2.3.17.3;Ensure 'User Account Control Behavior of the elevation prompt for administrators';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;ConsentPromptBehaviorAdmin;2;INCORRECT;;;;
2.3.17.4;Ensure 'User Account Control Behavior of the elevation prompt for standard users';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;ConsentPromptBehaviorUser;0;INCORRECT;;;;
2.3.17.5;Ensure 'User Account Control Detect application installations and prompt for elevation' ;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;EnableInstallerDetection;1;CORRECT;;;;
2.3.17.6;Ensure 'User Account Control Only elevate UIAccess applications that are installed secure locations';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;EnableSecureUIAPaths;1;CORRECT;;;;
2.3.17.7;Ensure 'User Account Control Run all administrators in Admin Approval Mode' is set to 'Enabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;EnableLUA;1;CORRECT;;;;
2.3.17.8;Ensure 'User Account Control Switch to the secure desktop when prompting for elevation';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;PromptOnSecureDesktop;1;CORRECT;;;;
2.3.17.9;Ensure 'User Account Control Virtualize file and registry write failures to per-user locations';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;EnableVirtualization;1;CORRECT;;;;
9.1.1;Ensure 'Windows Firewall Domain Firewall state' is set to 'On(recommended)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile;EnableFirewall;1;CORRECT;;;;
9.1.2;Ensure 'Windows Firewall Domain Inbound connections' is set to 'Block (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile;DefaultInboundAction;1;CORRECT;;;;
9.1.3;Ensure 'Windows Firewall Domain Outbound connections' is set to 'Allow (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile;DefaultOutboundAction;0;CORRECT;;;;
9.1.4;Ensure 'Windows Firewall Domain Settings Display a notification' is set to 'No';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile;DisableNotifications;0;CORRECT;;;;
9.1.5;Ensure 'Windows Firewall Domain Logging Name';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogFilePath;%SYSTEMROOT%\System32\logfiles\firewall\domainfw.log;INVALID;;;;
9.1.6;Ensure 'Windows Firewall Domain Logging Size limit (KB)' is set to '16,384 KB or greater';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogFileSize;16384-100000;INVALID;;;;
9.1.7;Ensure 'Windows Firewall Domain Logging Log dropped packets' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogDroppedPackets;1;INVALID;;;;
9.1.8;Ensure 'Windows Firewall Domain Logging Log successful connections' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogSuccessfulConnections;1;INVALID;;;;
9.2.1;Ensure 'Windows Firewall Private Firewall state' is set to 'On (recommended)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile ;EnableFirewall;1;INVALID;;;;
9.2.2;Ensure 'Windows Firewall Private Inbound connections' is set to 'Block (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile ;DefaultInboundAction;1;INVALID;;;;
9.2.3;Ensure 'Windows Firewall Private Outbound connections' is set to 'Allow (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile ;DefaultOutboundAction;0;INVALID;;;;
9.2.4;Ensure 'Windows Firewall Private Settings Display a notification' is set to 'No';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile ;DisableNotifications;0;INVALID;;;;
9.2.5;Ensure 'Windows Firewall Private Logging Name';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile \Logging;LogFilePath;%SYSTEMROOT%\System32\logfiles\firewall\privatefw.log;INVALID;;;;
9.2.6;Ensure 'Windows Firewall Private Logging Size limit (KB)' is set to '16,384 KB or greater';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile \Logging;LogFileSize;16384-100000;INVALID;;;;
9.2.7;Ensure 'Windows Firewall Private Logging Log dropped packets' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile \Logging;LogDroppedPackets;1;INVALID;;;;
9.2.8;Ensure 'Windows Firewall Private Logging Log successful connections' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile \Logging;LogSuccessfulConnections;1;INVALID;;;;
9.3.1;Ensure 'Windows Firewall Public Firewall state' is set to 'On (recommended)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;EnableFirewall;1;INVALID;;;;
9.3.2;Ensure 'Windows Firewall Public Inbound connections' is set to 'Block (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;DefaultInboundAction;1;INVALID;;;;
9.3.3;Ensure 'Windows Firewall Public Outbound connections' is set to 'Allow (default)';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;DefaultOutboundAction;0;INVALID;;;;
